"Timestamp","date","time","location","Latitude","Longitude","milesDrivenTank","milesDrivenTotal","pricePerGallon","gallonsPurchased","totalPrice","monthNum","monthName","year"
NA,2015-06-13,NA,"CIRCLE K 02939 TUCSON, AZ",32.2364654,-110.9248561,NA,NA,NA,NA,3.79,6,"june",2015
NA,2015-07-25,NA,"Mobil, 220 Court St, Middlebury, VT 05753",44.0027178,-73.1556335,NA,NA,NA,NA,6.42,7,"july",2015
NA,2015-07-24,NA,"Shell, 25 Court St, Middlebury, VT 05753",44.012139,-73.164289,NA,NA,NA,NA,45.56,7,"july",2015
NA,2015-07-11,NA,"Mobil, 220 Court St, Middlebury, VT 05753",44.0027178,-73.1556335,NA,NA,NA,NA,18.12,7,"july",2015
NA,2015-08-20,NA,"Shell, 25 Court St, Middlebury, VT 05753",44.012139,-73.164289,NA,NA,NA,NA,30,8,"aug",2015
NA,2015-08-15,NA,"EXXON MOBIL 97422554 NORTH HAVEN, CT",41.4020913,-72.8484001,NA,NA,NA,NA,4.19,8,"aug",2015
NA,2015-08-13,NA,"Mobil, 220 Court St, Middlebury, VT 05753",44.0027178,-73.1556335,NA,NA,NA,NA,17.1,8,"aug",2015
NA,2015-08-01,NA,"Mobil, 220 Court St, Middlebury, VT 05753",44.0027178,-73.1556335,NA,NA,NA,NA,19.3,8,"aug",2015
NA,2015-12-29,NA,"Shell, 2577 Casa Blanca Rd, Bapchule, AZ 85121",33.117389,-111.848738,NA,NA,NA,NA,32.67,12,"dec",2015
NA,2016-01-29,NA,"QT 1454 91014548 TUCSON, AZ",32.258025,-110.960634,NA,NA,NA,NA,31.52,1,"jan",2016
NA,2016-02-14,NA,"CIRCLE K 01985 TUCSON, AZ",32.2213006,-110.9793215,NA,NA,NA,NA,19.44,2,"feb",2016
NA,2016-03-30,NA,"SAFEWAY FUEL 10016848 TUCSON, AZ",31.9011614,-110.99423,NA,NA,NA,NA,30,3,"march",2016
NA,2016-03-04,NA,"CIRCLE K 02928 ORACLE, AZ",32.6195025,-110.7951058,NA,NA,NA,NA,25.54,3,"march",2016
NA,2016-04-25,NA,"Shell, 2577 Casa Blanca Rd, Bapchule, AZ 85121",33.117389,-111.848738,NA,NA,NA,NA,38.4,4,"april",2016
NA,2016-04-20,NA,"Shell, 4301 E Broadway Blvd, Tucson, AZ 85711",32.221871,-110.90054,NA,NA,NA,NA,37.56,4,"april",2016
NA,2016-05-28,NA,"Shell, 4301 E Broadway Blvd, Tucson, AZ 85711",32.221871,-110.90054,NA,NA,NA,NA,40.34,5,"may",2016
NA,2016-05-20,NA,"Shell, 4301 E Broadway Blvd, Tucson, AZ 85711",32.221871,-110.90054,NA,NA,NA,NA,34.93,5,"may",2016
NA,2016-05-04,NA,"QUIK MART FUEL TUCSON, AZ",32.149359,-110.9100423,NA,NA,NA,NA,39.84,5,"may",2016
NA,2016-06-26,NA,"SAFEWAY FUEL 10016848 TUCSON, AZ",31.9011614,-110.99423,NA,NA,NA,NA,39.43,6,"june",2016
NA,2016-06-17,NA,"SHELL OIL PICACHO, AZ",32.649536,-111.393663,NA,NA,NA,NA,28.51,6,"june",2016
NA,2016-06-14,NA,"SHELL OIL KINGMAN, AZ",35.195064,-114.074113,NA,NA,NA,NA,46.06,6,"june",2016
NA,2016-06-13,NA,"TEXACO 0356205 TUSAYAN, AZ",35.9745896,-112.124884,NA,NA,NA,NA,49.75,6,"june",2016
NA,2016-06-12,NA,"Shell, 4301 E Broadway Blvd, Tucson, AZ 85711",32.221871,-110.90054,NA,NA,NA,NA,36.43,6,"june",2016
NA,2016-06-07,NA,"Shell, 4301 E Broadway Blvd, Tucson, AZ 85711",32.221871,-110.90054,NA,NA,NA,NA,40.29,6,"june",2016
NA,2016-06-04,NA,"Shell, 4301 E Broadway Blvd, Tucson, AZ 85711",32.221871,-110.90054,NA,NA,NA,NA,35.55,6,"june",2016
NA,2016-07-29,NA,"CIRCLE K 02939 TUCSON, AZ",32.2364654,-110.9248561,NA,NA,NA,NA,12.95,7,"july",2016
NA,2016-07-26,NA,"QT 1452 91014522 TUCSON, AZ",32.2365879,-110.8822692,NA,NA,NA,NA,8.22,7,"july",2016
NA,2016-08-17,NA,"LUKOIL 57237 HIGHLAND PARK, NJ",40.5010671,-74.4220661,NA,NA,NA,NA,33,8,"aug",2016
NA,2016-08-15,NA,"BP",42.417294,-82.9101706,NA,NA,NA,NA,33.23,8,"aug",2016
NA,2016-08-15,NA,"EXXON MOBIL",30.119498,-94.6399409,NA,NA,NA,NA,27.53,8,"aug",2016
NA,2016-08-15,NA,"SHELL OIL",29.7602374,-95.3654938,NA,NA,NA,NA,10.58,8,"aug",2016
NA,2016-08-12,NA,"BEST MART",30.3788465,-89.0937904,NA,NA,NA,NA,35.39,8,"aug",2016
NA,2016-08-12,NA,"SPEEDWAY",39.792738,-86.250822,NA,NA,NA,NA,23.18,8,"aug",2016
NA,2016-08-12,NA,"VICTORY MART",35.3922444,-97.7428365,NA,NA,NA,NA,28.9,8,"aug",2016
NA,2016-08-11,NA,"LOVE'S COUNTRY",38.723456,-104.729262,NA,NA,NA,NA,20,8,"aug",2016
NA,2016-08-10,NA,"CONOCO - CROSSROAD",32.7512914,-99.8973405,NA,NA,NA,NA,32.95,8,"aug",2016
NA,2016-08-10,NA,"EXXON MOBIL",30.119498,-94.6399409,NA,NA,NA,NA,35.11,8,"aug",2016
NA,2016-08-10,NA,"MINOR FOOD MART",35.719371,-88.633707,NA,NA,NA,NA,22.18,8,"aug",2016
NA,2016-08-10,NA,"SHELL OIL",29.7602374,-95.3654938,NA,NA,NA,NA,31.38,8,"aug",2016
NA,2016-08-09,NA,"LOVE'S COUNTRY 00002634 LAWTON, OK",34.7136864,-98.4016495,NA,NA,NA,NA,27.15,8,"aug",2016
NA,2016-08-09,NA,"LOVE'S COUNTRY 00002634 LAWTON, OK",34.7136864,-98.4016495,NA,NA,NA,NA,4.88,8,"aug",2016
NA,2016-08-08,NA,"CIRCLE K",35.1909575,-80.7621614,NA,NA,NA,NA,4.67,8,"aug",2016
NA,2016-08-08,NA,"CORNER STORE",30.2229083,-92.6546246,NA,NA,NA,NA,33.84,8,"aug",2016
NA,2016-08-08,NA,"SHELL",29.759324,-95.367318,NA,NA,NA,NA,4.58,8,"aug",2016
NA,2016-09-26,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S586269862786850",40.5010671,-74.4220661,NA,NA,NA,NA,36.89,9,"sept",2016
NA,2016-09-15,NA,"LUKOIL",39.9605204,-75.1376991,NA,NA,NA,NA,36.01,9,"sept",2016
NA,2016-09-02,NA,"LUKOIL",39.9605204,-75.1376991,NA,NA,NA,NA,36.03,9,"sept",2016
NA,2016-10-24,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S306295826869673",40.5010671,-74.4220661,NA,NA,NA,NA,39.35,10,"oct",2016
NA,2016-10-14,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",39.9605204,-75.1376991,NA,NA,NA,NA,40,10,"oct",2016
NA,2016-11-28,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S466332781700596",40.5010671,-74.4220661,NA,NA,NA,NA,40.19,11,"nov",2016
NA,2016-11-14,NA,"LUKOIL 57237 HIGHLAND PARK, NJ",40.5010671,-74.4220661,NA,NA,NA,NA,42.68,11,"nov",2016
NA,2016-11-02,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",39.9605204,-75.1376991,NA,NA,NA,NA,41.55,11,"nov",2016
NA,2016-12-23,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S306357466438249",40.5010671,-74.4220661,NA,NA,NA,NA,43.89,12,"dec",2016
NA,2016-12-12,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",39.9605204,-75.1376991,NA,NA,NA,NA,43.02,12,"dec",2016
NA,2017-01-27,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S587026663652225",40.5010671,-74.4220661,NA,NA,NA,NA,40.25,1,"jan",2017
NA,2017-01-13,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",39.9605204,-75.1376991,NA,NA,NA,NA,44.5,1,"jan",2017
NA,2017-01-03,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",39.9605204,-75.1376991,NA,NA,NA,NA,39.01,1,"jan",2017
NA,2017-02-20,NA,"Raceway, 60 Raritan Ave, Highland Park, NJ 08904",40.4978078,-74.4337849,NA,NA,NA,NA,2.13,2,"feb",2017
NA,2017-02-16,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",39.9605204,-75.1376991,NA,NA,NA,NA,40.67,2,"feb",2017
NA,2017-02-06,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",39.9605204,-75.1376991,NA,NA,NA,NA,43.1,2,"feb",2017
NA,2017-03-30,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",40.5010671,-74.4220661,NA,NA,NA,NA,42.61,3,"march",2017
NA,2017-03-20,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",39.9605204,-75.1376991,NA,NA,NA,NA,42.8,3,"march",2017
NA,2017-03-10,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",39.9605204,-75.1376991,NA,NA,NA,NA,42.33,3,"march",2017
NA,2017-03-01,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",39.9605204,-75.1376991,NA,NA,NA,NA,39.9,3,"march",2017
NA,2017-04-23,NA,"EXXON MOBIL 47875372 NEWARK, DE",40.8288693,-73.6475496,NA,NA,NA,NA,20,4,"april",2017
NA,2017-04-21,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",39.9605204,-75.1376991,NA,NA,NA,NA,43.94,4,"april",2017
NA,2017-04-10,NA,"LUKOIL 57237 HIGHLAND PARK, NJ S307088839316717",39.9605204,-75.1376991,NA,NA,NA,NA,39.41,4,"april",2017
"5/5/2017 9:45:51",2017-05-05,0,"Raceway, 1555 NJ-27, Edison, NJ 08817",40.5070116,-74.4143646,247,137414,2.859,17.998,51.46,5,"may",2017
"5/5/2017 14:23:45",2017-03-29,0,"Lukoil 702 raritan ave, highland park NJ 08904",40.5010671,-74.4220661,NA,NA,2.199,19.378,42.61,3,"march",2017
"5/5/2017 14:25:26",2017-04-09,0,"Lukoil 702 raritan ave highland park NJ 08904",40.5010671,-74.4220661,NA,NA,2.359,16.705,39.41,4,"april",2017
"5/5/2017 14:26:47",2016-10-21,0,"lukoil 702 raritan ave highland park nj 08904",40.5010671,-74.4220661,NA,NA,2.039,19.301,39.35,10,"oct",2016
"5/18/2017 7:51:18",2017-05-18,0,"Lukoil 702 raritan ave highland Park nj 08904",40.5010671,-74.4220661,248.5,137662,2.299,19.575,45,5,"may",2017
